RESPOND,AGE,BUY18,CLIMATE,FICO,INCOME,MARRIED,OWNHOME,GENDER
0,51,0,10,673,49,0,0,M
0,20,0,10,669,45,0,0,F
0,52,1,10,679,17,1,0,F
0,32,0,10,664,42,0,1,F
1,51,0,10,676,17,1,0,F
0,33,0,10,681,19,1,1,M
0,,0,10,649,,,,
0,30,0,10,686,51,0,0,M
0,55,0,10,678,68,1,0,F
0,40,0,10,719,45,1,0,M
0,38,0,10,685,66,0,0,M
0,42,2,10,714,31,1,0,F
0,42,1,10,658,34,0,0,M
0,55,1,10,714,52,1,0,M
0,49,0,10,684,67,0,0,M
0,63,0,10,706,45,1,0,M
0,45,0,10,734,38,1,0,M
0,19,0,10,633,67,0,0,M
0,48,0,10,677,19,1,0,M
0,42,0,10,674,52,1,0,F
0,41,0,10,673,48,1,0,M
0,49,0,10,713,31,1,0,F
0,71,0,10,648,68,1,0,M
0,44,0,10,711,38,0,1,M
1,32,0,10,685,18,1,0,F
0,34,0,10,713,58,0,0,F
0,38,0,10,658,29,0,0,M
0,47,0,10,714,30,1,0,M
0,37,0,10,706,18,1,1,F
0,46,0,10,673,67,1,0,M
0,65,0,10,689,55,1,0,M
1,44,2,10,682,69,1,0,M
0,54,0,10,670,28,1,0,F
0,43,0,10,658,69,1,0,M
0,38,0,10,637,70,0,0,M
1,47,1,10,706,45,1,0,F
0,27,2,10,742,34,0,0,F
1,41,1,10,669,19,1,0,F
0,68,0,10,687,64,0,0,M
0,27,0,10,686,63,0,1,F
1,44,0,10,710,57,0,0,M
0,54,0,10,674,33,1,0,M
0,31,0,10,682,33,0,0,M
0,47,1,10,661,50,1,0,F
0,54,0,10,705,67,1,1,F
0,38,0,10,798,50,0,0,M
0,52,0,10,693,77,1,0,M
1,32,0,10,707,60,0,0,M
1,31,0,10,692,52,0,0,F
0,42,0,10,722,35,0,1,F
0,69,0,10,701,58,1,1,F
1,36,0,10,678,61,0,0,M
0,51,0,10,647,64,0,0,M
0,44,0,10,647,65,1,0,M
0,,0,10,685,,,,
0,41,0,10,700,31,1,0,M
0,27,0,10,729,70,1,0,F
0,44,0,10,697,34,1,0,M
0,48,2,10,745,32,1,0,F
0,46,0,10,702,67,1,1,M
0,25,0,10,742,64,1,1,M
0,49,0,10,738,60,1,0,F
0,41,0,10,645,32,1,0,F
0,47,0,10,683,66,1,0,F
0,32,0,10,681,78,0,0,F
0,40,0,10,705,51,1,1,M
0,59,0,10,654,26,1,1,F
0,52,1,10,650,76,1,0,F
0,31,1,10,713,61,1,0,F
0,55,2,10,720,53,1,0,M
0,55,1,10,699,50,1,1,M
0,51,0,10,647,50,1,0,M
0,55,0,10,669,30,1,0,M
0,57,0,10,700,73,0,0,M
0,35,1,10,700,49,0,1,F
1,35,2,10,676,72,0,0,M
0,28,0,10,684,66,0,0,F
0,54,0,10,708,61,1,1,M
0,56,1,10,690,47,1,1,F
0,71,0,10,684,37,1,1,M
0,23,0,10,690,64,0,0,M
0,55,0,10,707,45,1,0,M
0,43,1,10,703,44,1,0,F
0,33,0,10,665,64,0,0,M
0,51,1,10,700,50,1,0,F
0,25,0,10,712,52,0,0,M
0,32,0,10,706,82,0,0,M
0,56,1,10,703,51,0,0,M
0,45,0,10,685,56,1,0,F
0,54,0,10,738,20,0,0,F
0,45,0,10,686,66,1,0,F
0,41,0,10,701,59,1,0,F
0,39,0,10,697,33,0,0,M
0,41,2,10,722,51,1,1,F
0,40,0,10,757,55,1,0,M
0,66,1,10,726,69,1,0,F
0,57,1,10,716,64,0,1,F
0,40,0,10,684,64,0,0,M
0,60,0,10,696,70,1,0,F
0,49,0,10,724,62,0,0,M
0,45,0,10,694,32,0,0,M
0,52,0,10,724,56,1,0,M
1,57,0,10,708,64,0,0,M
0,63,0,10,746,64,1,1,F
0,42,1,10,687,24,1,0,F
0,37,0,10,733,36,0,0,M
0,61,1,10,683,44,1,0,M
0,38,0,10,717,31,0,0,M
0,44,1,10,737,31,1,0,M
0,40,0,10,654,19,1,0,M
0,62,1,10,667,16,1,0,F
0,44,0,10,640,24,0,1,F
0,39,0,10,696,36,0,1,M
0,36,1,10,717,55,1,0,F
0,50,0,10,696,51,1,0,F
0,56,0,10,,50,1,0,F
0,38,0,10,702,35,0,0,M
0,42,0,10,700,46,0,1,F
0,36,0,10,722,51,0,0,F
1,51,2,10,619,37,1,0,M
1,27,0,10,676,64,1,0,F
0,49,0,10,708,65,1,0,F
0,46,1,10,730,68,1,0,F
0,40,0,10,692,65,1,0,M
0,45,0,10,684,50,1,0,M
0,34,0,10,639,39,0,1,F
0,50,0,10,700,51,0,0,F
0,53,2,10,696,73,1,0,M
0,41,1,10,686,65,1,0,F
0,18,0,10,695,66,0,1,M
0,19,0,10,662,66,0,1,M
0,43,0,10,707,74,0,0,M
0,47,0,10,710,60,1,1,M
0,72,0,10,686,51,1,0,F
0,34,0,10,689,56,0,1,F
0,,1,10,693,,,,
0,39,1,10,678,58,0,0,M
0,47,0,10,675,32,0,0,M
0,45,0,10,748,52,1,0,F
0,39,0,10,696,40,0,1,M
0,38,0,10,675,46,0,0,F
0,40,0,10,709,31,0,0,F
0,47,0,10,699,30,0,0,F
0,63,0,10,701,30,1,0,F
0,25,0,10,691,49,1,0,F
0,37,0,10,689,30,0,0,F
0,38,0,10,696,30,0,0,F
0,51,1,10,707,32,0,0,M
0,53,1,10,705,52,1,0,F
0,51,1,10,631,48,1,1,M
0,56,0,10,709,53,0,0,M
1,50,0,10,750,25,1,0,M
0,53,0,10,709,39,0,0,M
0,41,0,10,666,44,1,0,M
0,42,0,10,734,72,1,0,F
0,43,0,10,675,19,1,0,M
0,42,1,10,688,31,1,0,M
0,46,0,10,649,53,1,0,F
0,42,1,10,707,63,1,0,F
1,56,0,10,726,47,1,0,F
0,68,0,10,706,45,0,1,M
0,39,1,10,692,38,0,1,F
1,66,0,10,677,83,0,0,M
0,48,0,10,666,48,1,1,F
0,53,0,10,710,40,1,1,F
0,37,0,10,652,22,0,0,M
0,50,0,10,718,64,1,0,M
0,40,0,10,669,20,1,0,M
0,40,0,10,716,83,1,0,M
1,45,1,10,713,43,1,0,F
0,36,0,10,660,36,0,0,M
0,43,0,10,688,61,1,0,M
0,47,0,10,736,49,1,1,F
0,73,0,10,698,73,1,0,M
0,49,0,10,715,55,0,0,M
0,38,0,10,713,65,0,0,M
0,54,0,10,690,50,1,0,M
0,47,0,10,659,22,1,0,F
0,46,0,10,662,55,1,0,F
0,26,0,10,725,22,0,0,F
0,34,0,10,659,38,0,0,M
0,45,0,10,716,33,0,0,M
0,56,1,10,671,43,1,0,M
0,52,1,10,713,57,1,0,F
1,55,0,10,684,49,1,0,F
0,40,0,10,710,31,1,0,M
1,38,0,10,638,70,0,0,M
1,34,0,10,718,63,0,0,M
0,47,0,10,727,68,0,0,M
1,,0,10,659,,,,
0,,0,10,691,,,,
0,47,0,10,687,32,1,0,M
0,52,0,10,683,33,0,0,M
0,52,0,10,707,54,1,0,F
0,33,1,10,704,45,0,1,F
0,47,1,10,708,58,1,0,F
0,32,0,10,721,54,0,0,M
0,35,3,10,625,38,0,0,M
0,31,0,10,720,61,0,0,M
1,34,0,10,698,70,1,1,F
0,28,0,10,688,67,0,0,F
0,41,0,10,694,52,1,0,F
0,30,0,10,642,44,1,1,M
0,36,0,10,733,68,0,0,F
0,45,0,10,684,52,0,0,M
0,37,1,10,698,49,0,0,F
0,49,0,10,741,55,1,0,M
0,45,0,10,718,59,1,0,F
0,38,0,10,715,37,0,1,M
1,56,0,10,661,33,1,0,F
0,48,0,10,693,71,1,0,F
0,41,0,10,676,35,1,0,F
0,36,0,10,705,31,0,0,M
0,52,0,10,676,63,1,0,M
1,53,2,10,713,35,1,0,M
0,45,0,10,734,30,1,0,F
0,41,0,10,666,45,1,0,F
0,45,0,10,695,60,1,1,F
0,34,1,10,689,41,0,0,F
1,72,2,10,687,60,0,1,M
0,39,1,10,682,51,1,0,F
0,44,0,10,737,74,1,0,M
0,47,0,10,679,68,1,1,F
0,51,0,10,692,29,1,0,F
0,41,0,10,701,71,0,0,M
1,26,0,10,686,29,0,1,M
0,51,0,10,735,67,1,0,M
0,39,0,10,663,44,1,0,F
0,39,1,10,683,70,0,0,M
0,31,0,10,696,60,0,0,M
0,47,1,10,744,57,1,0,M
0,47,2,10,709,30,1,0,F
0,40,0,10,730,57,1,0,M
0,42,0,10,666,32,1,0,F
0,40,0,10,693,28,1,1,F
0,45,0,10,658,69,1,0,F
0,46,0,10,723,38,1,1,F
0,50,0,10,652,62,0,0,F
0,48,0,10,698,45,1,0,F
0,37,0,10,718,69,0,1,M
0,40,0,10,706,52,0,0,M
0,73,0,10,706,72,1,1,F
0,32,1,10,657,64,1,0,F
0,47,0,10,671,72,1,0,M
0,37,1,10,710,70,0,0,F
0,26,0,10,703,45,1,0,F
0,71,1,10,680,47,1,1,M
0,,0,10,699,,,,
1,67,1,10,615,47,1,0,M
0,47,0,10,702,31,1,0,F
1,30,1,10,709,71,0,0,M
0,32,0,10,680,56,0,0,F
0,67,0,10,725,78,1,0,M
0,41,0,10,687,33,1,0,M
0,41,1,10,687,51,1,1,F
0,26,1,10,630,16,1,0,M
0,40,0,10,719,51,0,0,M
0,42,1,10,671,64,1,0,M
0,40,0,10,672,71,0,0,M
0,45,0,10,700,65,1,1,M
0,,0,10,694,,,,
0,36,1,10,705,55,0,0,F
0,45,0,10,734,64,1,0,M
0,34,0,10,630,36,0,0,F
0,37,1,10,681,53,0,0,F
0,59,0,10,703,52,1,0,F
1,41,1,10,732,17,1,0,F
0,50,0,10,707,35,1,0,M
0,63,0,10,745,43,1,1,F
1,51,0,10,686,65,0,0,M
0,51,0,10,656,50,0,0,F
0,19,0,10,663,52,1,0,F
0,50,0,10,716,56,1,0,M
0,48,1,10,685,38,1,0,F
0,36,0,10,705,32,0,0,M
0,60,0,10,710,62,1,0,M
0,39,0,10,699,19,0,0,M
0,51,0,10,702,67,0,0,F
0,27,0,10,691,28,0,0,M
0,47,1,10,687,75,1,0,F
0,43,0,10,683,32,1,0,M
0,55,0,10,689,30,1,0,F
0,32,0,10,715,33,0,0,M
0,55,2,10,700,30,1,1,F
0,36,0,10,670,37,0,1,F
0,,1,10,703,,,,
0,37,0,10,731,30,0,0,M
0,55,0,10,715,70,1,0,F
0,35,0,10,686,70,0,0,F
0,33,0,10,682,49,0,0,F
1,50,1,10,684,38,1,0,F
0,40,0,10,712,52,1,1,F
0,35,0,10,726,74,0,0,M
0,58,0,10,691,53,1,0,M
0,46,0,10,667,66,1,0,M
0,52,0,10,692,65,0,0,M
1,43,0,10,675,30,1,0,M
0,55,0,10,697,32,1,0,M
0,53,0,10,679,38,1,0,M
0,42,0,10,682,18,1,0,F
0,42,0,10,693,54,0,0,M
0,40,0,10,722,71,1,0,M
0,,1,10,724,,,,
0,61,0,10,728,72,1,0,M
1,46,0,10,669,61,1,0,M
0,43,1,10,750,60,1,1,F
0,45,0,10,701,46,1,0,F
0,48,0,10,654,30,1,0,M
0,34,0,10,690,34,0,0,F
0,49,0,10,763,75,1,0,M
0,39,1,10,668,48,0,1,F
0,63,0,10,718,42,1,1,F
0,56,0,10,702,33,0,0,M
0,44,0,10,689,29,1,0,M
0,59,0,10,719,58,1,1,F
0,39,1,10,711,15,0,0,F
0,47,1,10,703,70,1,0,F
1,27,1,10,718,68,1,1,F
0,62,0,10,704,77,0,1,M
0,41,0,10,703,53,1,0,M
0,44,0,10,695,34,1,0,M
1,67,0,10,700,44,1,1,M
0,44,0,10,701,40,0,0,M
0,63,0,10,637,38,1,0,M
0,28,0,10,722,62,0,0,F
0,62,0,10,673,51,1,0,M
0,48,1,10,633,55,1,0,M
0,47,0,10,704,44,1,0,F
0,18,0,10,696,68,1,0,M
0,47,0,10,712,58,0,0,F
0,44,1,10,719,53,1,0,M
0,55,0,10,666,60,1,0,F
0,43,1,10,729,18,1,0,M
0,46,0,10,643,62,1,1,M
0,53,0,10,702,72,0,0,F
0,43,0,10,668,51,1,0,M
0,48,0,10,652,67,1,0,F
0,53,0,10,698,22,1,0,M
0,66,0,10,702,76,0,0,M
0,32,0,10,673,72,0,0,M
0,35,0,10,714,68,0,0,M
0,54,0,10,603,20,1,0,F
0,50,0,10,725,30,1,0,M
0,35,0,10,683,72,0,0,M
1,44,0,10,661,52,1,0,F
0,44,0,10,716,37,1,0,F
0,44,0,10,687,71,1,0,F
0,73,1,10,711,47,1,0,M
0,52,0,10,682,70,1,1,F
0,49,0,10,702,30,0,0,M
0,37,0,10,686,45,0,0,F
1,54,1,10,650,64,1,0,M
0,44,0,10,721,49,0,0,M
0,,0,10,648,,,,
0,54,0,10,676,31,1,0,F
0,37,0,10,758,67,1,0,F
0,53,0,10,739,45,0,0,M
0,39,0,10,680,65,0,0,M
0,35,0,10,730,21,0,0,M
0,51,3,10,699,77,1,0,M
0,35,0,10,729,30,1,0,M
0,52,0,10,693,40,1,1,F
0,49,0,10,690,44,1,1,M
0,30,0,10,730,70,0,0,M
0,,0,10,654,,,,
0,50,1,10,717,19,1,0,F
0,39,0,10,684,53,0,0,M
0,31,0,10,695,44,0,1,F
0,41,0,10,678,37,0,0,F
0,44,0,10,740,35,1,0,M
0,56,0,10,699,36,1,0,F
0,59,0,10,639,18,1,1,M
0,35,1,10,679,49,1,0,M
0,50,0,10,681,40,1,0,M
1,61,0,10,738,42,1,0,F
0,46,1,10,677,53,0,0,F
0,48,0,10,644,66,0,0,M
0,39,0,10,741,78,0,0,M
0,56,0,10,696,55,1,0,M
0,43,0,10,745,55,0,0,M
0,61,0,10,667,19,0,1,F
0,50,0,10,714,86,1,1,M
0,50,1,10,652,64,1,0,M
0,50,0,10,696,50,1,0,F
0,71,0,10,668,43,1,1,M
0,44,1,10,694,55,0,0,M
0,34,0,10,687,35,0,0,F
0,,0,10,696,,,,
0,40,0,10,739,50,1,0,M
0,44,0,10,686,33,1,0,M
0,29,0,10,701,56,0,0,M
0,46,0,10,732,31,1,1,F
0,62,0,20,682,70,1,1,M
0,44,1,20,703,28,0,0,F
0,21,0,20,715,72,0,1,F
0,44,0,20,734,71,1,0,M
0,46,2,20,673,49,1,0,M
0,49,1,20,717,58,1,1,F
0,46,1,20,653,56,1,0,F
0,59,0,20,725,41,1,0,F
1,29,1,20,655,65,0,0,F
0,36,0,20,622,44,0,0,M
0,23,0,20,726,58,0,1,M
1,45,2,20,701,32,1,0,F
0,50,1,20,744,42,1,0,F
0,49,0,20,725,76,0,0,M
0,,0,20,671,,,,
0,42,0,20,702,29,1,0,M
1,53,0,20,717,30,1,0,M
0,51,1,20,696,55,0,0,F
0,38,1,20,656,68,0,0,M
1,48,0,20,688,43,1,0,F
0,57,0,20,648,51,1,0,F
0,55,0,20,701,70,1,0,M
0,44,1,20,697,63,0,0,M
0,72,1,20,637,39,1,0,M
0,40,1,20,770,18,1,0,M
0,42,0,20,681,33,1,0,F
0,54,0,20,711,51,0,1,F
1,45,0,20,711,33,1,0,M
0,47,1,20,677,32,1,0,M
1,50,0,20,702,55,1,0,F
0,44,0,20,675,34,0,0,F
0,44,0,20,699,49,0,0,M
0,21,2,20,715,55,0,0,M
0,49,1,20,675,30,0,0,M
0,63,1,20,776,61,1,0,M
0,32,0,20,680,34,0,0,F
0,62,0,20,,61,1,1,F
0,50,0,20,726,64,0,0,M
0,29,0,20,699,42,0,1,F
0,38,0,20,655,74,0,1,M
0,67,0,20,669,60,1,0,M
0,40,0,20,687,46,1,1,F
0,,0,20,678,,,,
0,55,1,20,706,63,0,0,M
0,55,0,20,736,41,1,1,F
0,45,1,20,680,69,0,0,M
0,46,2,20,719,40,1,0,M
0,52,0,20,701,52,0,0,M
0,47,0,20,709,69,1,0,F
0,57,0,20,684,59,1,0,M
0,33,1,20,680,37,0,0,F
0,48,0,20,692,21,0,0,F
0,61,1,20,657,71,1,0,M
0,40,0,20,715,54,1,0,F
0,44,0,20,713,30,0,0,F
0,49,0,20,666,57,1,0,F
0,37,0,20,653,52,0,0,M
0,20,0,20,760,65,0,1,M
0,53,0,20,649,75,1,1,M
0,47,0,20,679,68,0,0,M
0,47,0,20,712,45,1,1,F
0,40,0,20,712,25,1,0,M
0,44,0,20,660,32,1,1,F
0,35,0,20,699,30,1,0,F
0,37,1,20,715,41,0,0,F
0,43,1,20,682,56,1,0,M
0,49,0,20,668,45,1,0,F
0,32,1,20,716,66,0,0,M
0,39,0,20,696,31,0,0,F
0,56,1,20,722,18,0,0,M
0,47,1,20,704,68,1,0,M
1,19,1,20,673,62,1,0,F
1,50,0,20,675,21,1,0,M
0,42,0,20,709,69,0,0,M
0,72,0,20,623,37,1,0,F
0,50,0,20,690,17,1,0,M
0,57,0,20,683,32,1,0,F
1,39,1,20,697,24,0,0,F
0,39,0,20,682,33,0,0,M
0,51,0,20,640,56,1,0,F
0,40,0,20,658,61,1,0,F
0,51,0,20,704,46,1,1,F
0,40,0,20,689,42,1,0,M
0,42,0,20,674,38,1,0,M
0,35,0,20,728,62,0,1,F
0,36,0,20,714,48,0,1,F
0,43,1,20,693,39,1,1,M
0,61,0,20,727,65,1,0,M
0,62,0,20,698,53,0,0,M
0,51,1,20,698,55,1,0,M
0,70,0,20,675,71,0,1,M
0,42,0,20,716,68,1,0,M
0,40,0,20,713,19,0,0,M
0,18,0,20,697,63,0,1,M
0,40,0,20,678,58,1,0,M
0,35,0,20,670,33,0,0,M
0,52,1,20,672,32,1,1,F
0,70,0,20,699,48,1,0,M
0,48,1,20,689,39,1,1,M
0,39,0,20,662,29,1,0,M
0,52,0,20,698,35,0,0,F
0,33,0,20,709,52,0,0,F
1,46,1,20,728,53,1,0,F
0,53,1,20,688,28,0,0,F
0,45,0,20,661,66,1,0,F
0,51,1,20,687,28,1,1,M
0,41,0,20,705,56,1,0,F
0,46,0,20,702,45,1,1,F
0,38,0,20,656,36,0,0,F
1,44,1,20,685,33,1,0,F
0,41,0,20,702,32,1,0,M
0,34,0,20,705,76,0,0,F
1,42,1,20,639,32,0,0,M
0,41,1,20,687,60,1,1,F
0,55,1,20,691,49,1,0,F
0,44,1,20,685,65,1,0,M
0,37,0,20,737,69,0,0,M
0,45,0,20,708,81,1,0,F
0,43,0,20,672,67,1,1,M
0,41,0,20,655,53,1,1,F
0,37,0,20,683,18,0,0,F
0,35,1,20,652,39,0,0,F
0,53,1,20,672,32,1,0,M
0,53,0,20,694,66,1,0,M
0,51,0,20,727,72,0,0,M
0,44,0,20,715,54,1,0,M
0,47,1,20,686,57,1,0,F
0,41,0,20,718,53,1,0,M
0,41,0,20,617,62,1,0,M
0,43,0,20,684,74,1,0,M
0,41,0,20,717,63,1,0,M
0,47,1,20,682,41,1,0,F
0,25,0,20,707,22,0,1,F
0,58,0,20,736,66,1,0,M
0,,0,20,666,,,,
0,48,0,20,636,77,1,0,M
0,46,0,20,,42,1,0,F
0,34,0,20,719,38,0,0,M
0,58,0,20,728,43,1,0,M
0,53,0,20,719,31,1,0,M
0,52,0,20,705,38,1,0,M
0,34,0,20,653,63,0,1,M
0,54,0,20,700,50,0,1,F
0,66,0,20,642,74,1,0,M
0,50,1,20,711,53,1,0,M
0,44,0,20,673,36,1,0,M
0,42,0,20,647,65,1,0,M
0,44,0,20,688,54,1,0,M
0,38,0,20,694,71,0,0,M
0,27,0,20,683,68,0,0,M
0,47,0,20,688,61,1,0,M
0,43,0,20,673,31,1,0,M
0,48,1,20,727,39,0,0,M
0,46,0,20,697,54,0,0,M
0,53,0,20,686,53,0,0,F
0,59,0,20,700,59,1,0,F
1,23,1,20,650,56,0,0,M
0,57,0,20,658,50,1,1,F
0,46,0,20,711,67,1,0,F
0,51,1,20,683,46,0,0,M
0,57,0,20,644,43,1,0,M
0,50,0,20,722,71,0,0,M
1,45,0,20,659,37,0,0,M
0,56,1,20,701,75,1,0,M
0,48,0,20,684,74,1,0,M
0,61,1,20,634,62,1,0,F
0,38,1,20,682,16,0,0,M
0,39,1,20,674,54,0,0,M
0,48,0,20,714,60,0,0,F
0,67,1,20,693,71,1,0,F
0,22,1,20,689,72,0,1,F
0,54,0,20,702,70,1,0,M
0,47,1,20,686,51,1,0,M
0,41,0,20,682,36,0,0,M
0,40,1,20,726,66,1,0,M
0,24,0,20,722,51,0,1,M
0,49,0,20,694,31,0,1,M
0,39,1,20,692,46,0,1,F
0,48,0,20,694,78,0,0,F
0,42,2,20,707,33,1,0,F
0,32,0,20,695,47,0,0,F
0,45,0,20,761,33,1,0,F
0,59,0,20,697,61,1,0,F
0,46,0,20,638,46,1,1,F
0,44,0,20,714,23,0,0,F
0,72,0,20,701,51,0,0,M
0,50,0,20,691,54,1,0,M
0,,1,20,712,,,,
0,44,0,20,716,24,1,0,M
0,50,0,20,693,30,1,0,M
0,32,0,20,717,76,0,0,M
0,59,1,20,762,48,1,0,M
0,42,0,20,692,76,1,0,M
0,27,0,20,706,18,1,1,M
